Ivan Ivanov 1 1 1 1 1 
Василий Федоров 5 4 5 3 3 
Иван Сидоров 5 5 3 4 5 
Андрей Иванов 5 3 3 3 3 
Василий Федоров 5 4 5 3 3 
Иван Сидоров 5 5 3 4 5 
Андрей Иванов 5 3 3 3 3 
Василий Федоров 5 4 5 3 3 
Иван Сидоров 5 5 3 4 5 
Андрей Иванов 5 3 3 3 3 
Василий Федоров -842150451 -842150451 -842150451 -842150451 -842150451 
Иван Сидоров -842150451 -842150451 -842150451 -842150451 -842150451 
Андрей Иванов -842150451 -842150451 -842150451 -842150451 -842150451 
Василий Федоров -842150451 -842150451 -842150451 -842150451 -842150451 
Иван Сидоров -842150451 -842150451 -842150451 -842150451 -842150451 
Андрей Иванов -842150451 -842150451 -842150451 -842150451 -842150451 
